Joe Burrow,19.26
Travis Kelce,0
Joe Mixon,8.6
Miles Sanders,0
Dallas Goedert,0
Tyler Boyd,5.6
K.J. Osborn,10.0
Christian Kirk,21.8
T.J. Hockenson,22.9
Adam Thielen,8.0
Jauan Jennings,6.1
Kenneth Walker III,13.6
Trevor Lawrence,20.32
DK Metcalf,35.6
Patrick Mahomes II,0
Tee Higgins,7.7
Austin Ekeler,18.3
JuJu Smith-Schuster,0
CeeDee Lamb,16.8
Saquon Barkley,27.9
Chris Godwin,18.5
Kadarius Toney,0
Travis Etienne Jr.,13.1
Daniel Jones,27.84
James Cook,9.9
Rachad White,0
Zay Jones,21.4
Tyler Lockett,9.9
Stefon Diggs,18.4
Josh Allen,22.08
Devonta Smith,0
George Kittle,5.7
Dalvin Cook,13.0
Keenan Allen,12.1
Elijah Mitchell,10.7
Ezekial Elliott,0
Dak Prescott,36.6
Mike Williams,0
Dalton Schultz,28.5
Evan Engram,22.3
Isaiah Mckenzie,0
Lamar Jackson,0
Jalen Hurts,0
A.J. Brown,0
Justin Jefferson,11.62
Jerick Mckinnon,0
Gabe Davis,23.3
Isiah Pacheco,0
Dawson Knox,11.0
Tony Pollard,11.9
Devin Singletary,4.8
Mecole Hardman,0
Marquez Valdes-Scantling,0
Kirk Cousins,25.82
Jaylen Waddle,8.2
Richie James,7.1
Christian McCaffrey,21.6
Ja'Marr Chase,23.4
Brock Purdy,32.88
Deebo Samuel,28.5
Brandon Aiyuk,10.3
Mike Evans,13.4
Leonard Fournette,2.7
Tom Brady,20.04
Justin Herbert,14.12
Hayden Hurst,8.5
Tyreek Hill,14.4
Gerald Everett,22.9
Julio Jones,20.4
Cade Otton,9.8
