,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
0,Cooper Kupp,WR,4,33,42,478,14.5,6,70,7,119.5,1,1,206,19
1,Ja'Marr Chase,WR,4,25,35,368,14.7,1,57,5,92.0,0,0,171,16
2,Tee Higgins,WR,4,18,30,309,17.2,2,75,3,77.3,0,0,134,13
3,Travis Kelce,TE,3,23,27,299,13.0,3,48,4,99.7,0,0,136,17
4,Odell Beckham Jr.,WR,4,21,26,288,13.7,2,35,5,72.0,0,0,81,15
5,Tyreek Hill,WR,3,23,28,285,12.4,3,64,5,95.0,0,0,135,12
6,Gabe Davis,WR,2,10,13,242,24.2,5,75,4,121.0,0,0,42,10
7,Mike Evans,WR,2,17,26,236,13.9,2,55,3,118.0,0,0,79,10
8,Jerick McKinnon,RB,3,14,17,165,11.8,1,23,3,55.0,0,0,196,11
9,Deebo Samuel,WR,3,10,14,154,15.4,1,44,1,51.3,0,0,154,7
10,C.J. Uzomah,TE,4,15,18,146,9.7,1,32,2,36.5,0,0,80,7
11,A.J. Brown,WR,1,5,9,142,28.4,1,41,4,142.0,0,0,15,4
12,Brandon Aiyuk,WR,3,9,15,135,15.0,0,37,2,45.0,0,0,38,7
13,Aaron Jones,RB,1,9,10,129,14.3,0,75,1,129.0,0,0,106,2
14,Mecole Hardman Jr.,WR,3,8,9,121,15.1,1,44,3,40.3,0,0,79,5
15,Rob Gronkowski,TE,2,9,17,116,12.9,1,42,2,58.0,0,0,69,5
16,Tyler Boyd,WR,4,15,20,110,7.3,1,16,0,27.5,0,0,43,7
17,George Kittle,TE,3,7,14,108,15.4,1,24,1,36.0,0,0,39,7
18,Joe Mixon,RB,4,18,21,107,5.9,0,21,2,26.8,0,0,128,4
19,Van Jefferson,WR,4,9,17,102,11.3,0,41,1,25.5,0,0,52,4
20,Dawson Knox,TE,2,7,9,98,14.0,2,38,2,49.0,0,0,19,4
21,Dallas Goedert,TE,1,6,12,92,15.3,0,28,1,92.0,0,0,34,5
22,Davante Adams,WR,1,9,11,90,10.0,0,25,1,90.0,0,0,21,5
23,Dalton Schultz,TE,1,7,8,89,12.7,0,38,1,89.0,0,0,31,4
24,Byron Pringle,WR,3,12,17,82,6.8,3,15,0,27.3,0,0,30,7
25,Cole Beasley,WR,2,7,9,79,11.3,0,24,1,39.5,0,0,38,3
26,Kendrick Bourne,WR,1,7,8,77,11.0,2,43,1,77.0,0,0,22,5
27,Darren Waller,TE,1,7,12,76,10.9,0,23,1,76.0,0,0,16,5
28,Demarcus Robinson,WR,3,4,9,76,19.0,0,29,2,25.3,0,0,28,3
29,Cam Akers,RB,4,8,10,76,9.5,0,40,1,19.0,0,0,60,4
30,Kendall Blanton,TE,4,7,7,75,10.7,1,20,1,18.8,0,0,56,5
31,Stefon Diggs,WR,2,6,10,67,11.2,0,45,1,33.5,0,0,16,2
32,Amari Cooper,WR,1,6,10,64,10.7,1,20,1,64.0,0,0,3,3
33,Julio Jones,WR,1,6,7,62,10.3,0,16,0,62.0,0,0,24,4
34,Cedrick Wilson Jr.,WR,1,5,10,62,12.4,0,24,1,62.0,1,0,21,1
35,Zay Jones,WR,1,5,8,61,12.2,1,17,0,61.0,0,0,2,4
36,DeVonta Smith,WR,1,4,11,60,15.0,0,31,1,60.0,0,0,50,2
